"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 00:55:07 BRT 2023","Mon Oct 16 00:55:18 BRT 2023","10995","","Criar Clientes","","Criar Clientes","Cadastro cliente sucesso","Cadastro cliente sucesso",""
"passed","Mon Oct 16 00:55:18 BRT 2023","Mon Oct 16 00:55:26 BRT 2023","8378","","Criar Clientes","","Criar Clientes","Criando cliente sucesso","Criando cliente sucesso",""
